|ITERS: 1480405 / 1480405 | EPOCHS: 1.70 | COMP: 100.00% | RATE: 4.59 it./s | SPD: 0.2179 s/it.| ERT: (0, 0, 0, 0) | ET: (4, 3, 49, 40)                                                                 
val>|ITERS: 500 / 500 | COMP: 100.00% | RATE: 9.10 it./s | SPD: 0.1099 s/it.| ERT: (0, 0, 0, 0) |                                                                                                       

Finished setup:

Initilizaing neptune:
	--> neptune init
	--> checkpoint_2024-12-25_05-31 : iter      40000 <=> epoch 0.045933359289952076 | train loss 0.6209084392 | val loss 0.6243540049
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_05-51 : iter      45000 <=> epoch 0.051675029201196085 | train loss 0.6155744195 | val loss 0.6153094769
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_06-11 : iter      50000 <=> epoch 0.057416699112440094 | train loss 0.6115693450 | val loss 0.6175462604
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_06-31 : iter      55000 <=> epoch 0.0631583690236841 | train loss 0.6096366644 | val loss 0.6128296256
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_06-51 : iter      60000 <=> epoch 0.0689000389349281 | train loss 0.6072003841 | val loss 0.6095398068
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_07-12 : iter      65000 <=> epoch 0.07464170884617212 | train loss 0.6055574417 | val loss 0.6066833138
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_07-32 : iter      70000 <=> epoch 0.08038337875741612 | train loss 0.6025877595 | val loss 0.6045285463
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_07-52 : iter      75000 <=> epoch 0.08612504866866014 | train loss 0.6010948420 | val loss 0.6033347249
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_08-12 : iter      80000 <=> epoch 0.09186671857990415 | train loss 0.5979226828 | val loss 0.6023179889
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_08-32 : iter      85000 <=> epoch 0.09760838849114815 | train loss 0.5962048769 | val loss 0.6009743810
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_08-53 : iter      90000 <=> epoch 0.10335005840239217 | train loss 0.5962634683 | val loss 0.5978662968
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_09-13 : iter      95000 <=> epoch 0.10909172831363617 | train loss 0.5966725349 | val loss 0.5996266007
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_09-33 : iter     100000 <=> epoch 0.11483339822488019 | train loss 0.5938545465 | val loss 0.5975579023
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_09-53 : iter     105000 <=> epoch 0.12057506813612419 | train loss 0.5922413468 | val loss 0.5966914892
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_10-13 : iter     110000 <=> epoch 0.1263167380473682 | train loss 0.5924658179 | val loss 0.5962694287
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_10-34 : iter     115000 <=> epoch 0.1320584079586122 | train loss 0.5924358964 | val loss 0.5960696340
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_10-54 : iter     120000 <=> epoch 0.1378000778698562 | train loss 0.5924635530 | val loss 0.5931330919
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_11-14 : iter     125000 <=> epoch 0.14354174778110024 | train loss 0.5896220803 | val loss 0.5936451554
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_11-34 : iter     130000 <=> epoch 0.14928341769234424 | train loss 0.5897020698 | val loss 0.5934010148
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_11-54 : iter     135000 <=> epoch 0.15502508760358824 | train loss 0.5873436332 | val loss 0.5914163589
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_12-15 : iter     140000 <=> epoch 0.16076675751483224 | train loss 0.5874055624 | val loss 0.5926342010
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_12-35 : iter     145000 <=> epoch 0.16650842742607627 | train loss 0.5883796811 | val loss 0.5909197927
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_12-55 : iter     150000 <=> epoch 0.17225009733732027 | train loss 0.5867059827 | val loss 0.5897158384
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_13-15 : iter     155000 <=> epoch 0.17799176724856428 | train loss 0.5845984817 | val loss 0.5894368887
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_13-35 : iter     160000 <=> epoch 0.1837334371598083 | train loss 0.5869874358 | val loss 0.5892667770
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_13-55 : iter     165000 <=> epoch 0.1894751070710523 | train loss 0.5852352381 | val loss 0.5920313597
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_14-16 : iter     170000 <=> epoch 0.1952167769822963 | train loss 0.5841708779 | val loss 0.5888845325
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_14-36 : iter     175000 <=> epoch 0.2009584468935403 | train loss 0.5829027295 | val loss 0.5870658159
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_14-56 : iter     180000 <=> epoch 0.20670011680478434 | train loss 0.5848832726 | val loss 0.5875928402
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_15-16 : iter     185000 <=> epoch 0.21244178671602834 | train loss 0.5827155113 | val loss 0.5865736008
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_15-36 : iter     190000 <=> epoch 0.21818345662727234 | train loss 0.5835323930 | val loss 0.5887441635
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_15-57 : iter     195000 <=> epoch 0.22392512653851634 | train loss 0.5815834999 | val loss 0.5880962610
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_16-17 : iter     200000 <=> epoch 0.22966679644976037 | train loss 0.5839586258 | val loss 0.5898865461
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_16-37 : iter     205000 <=> epoch 0.23540846636100438 | train loss 0.5833685994 | val loss 0.5868522525
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_16-57 : iter     210000 <=> epoch 0.24115013627224838 | train loss 0.5813520551 | val loss 0.5871508718
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_17-17 : iter     215000 <=> epoch 0.24689180618349238 | train loss 0.5815578699 | val loss 0.5861276984
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_17-37 : iter     220000 <=> epoch 0.2526334760947364 | train loss 0.5799430609 | val loss 0.5874267817
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_17-58 : iter     225000 <=> epoch 0.2583751460059804 | train loss 0.5818915367 | val loss 0.5836246610
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_18-18 : iter     230000 <=> epoch 0.2641168159172244 | train loss 0.5813606977 | val loss 0.5865022540
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_18-38 : iter     235000 <=> epoch 0.26985848582846844 | train loss 0.5809082985 | val loss 0.5849858522
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_18-58 : iter     240000 <=> epoch 0.2756001557397124 | train loss 0.5805020928 | val loss 0.5839636326
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_19-18 : iter     245000 <=> epoch 0.28134182565095645 | train loss 0.5786319375 | val loss 0.5854898691
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_19-38 : iter     250000 <=> epoch 0.2870834955622005 | train loss 0.5822041631 | val loss 0.5890595913
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_19-59 : iter     255000 <=> epoch 0.29282516547344445 | train loss 0.5815833211 | val loss 0.5841053724
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_20-20 : iter     260000 <=> epoch 0.2985668353846885 | train loss 0.5803294182 | val loss 0.5843954086
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_20-40 : iter     265000 <=> epoch 0.3043085052959325 | train loss 0.5772542357 | val loss 0.5828126669
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_21-00 : iter     270000 <=> epoch 0.3100501752071765 | train loss 0.5782027841 | val loss 0.5834820271
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_21-20 : iter     275000 <=> epoch 0.3157918451184205 | train loss 0.5781835914 | val loss 0.5838261843
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_21-40 : iter     280000 <=> epoch 0.3215335150296645 | train loss 0.5779337883 | val loss 0.5822886825
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_22-00 : iter     285000 <=> epoch 0.3272751849409085 | train loss 0.5786019564 | val loss 0.5852060914
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_22-21 : iter     290000 <=> epoch 0.33301685485215254 | train loss 0.5770336986 | val loss 0.5829650760
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_22-41 : iter     295000 <=> epoch 0.3387585247633965 | train loss 0.5791644454 | val loss 0.5843046308
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_23-01 : iter     300000 <=> epoch 0.34450019467464055 | train loss 0.5778577924 | val loss 0.5819463134
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_23-21 : iter     305000 <=> epoch 0.3502418645858846 | train loss 0.5765522122 | val loss 0.5830286741
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_23-41 : iter     310000 <=> epoch 0.35598353449712855 | train loss 0.5755437016 | val loss 0.5814416409
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_00-01 : iter     315000 <=> epoch 0.3617252044083726 | train loss 0.5769374371 | val loss 0.5816905499
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_00-22 : iter     320000 <=> epoch 0.3674668743196166 | train loss 0.5751060843 | val loss 0.5799456835
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_00-42 : iter     325000 <=> epoch 0.3732085442308606 | train loss 0.5763378739 | val loss 0.5812666416
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_01-02 : iter     330000 <=> epoch 0.3789502141421046 | train loss 0.5762202144 | val loss 0.5815253854
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_01-22 : iter     335000 <=> epoch 0.3846918840533486 | train loss 0.5754162669 | val loss 0.5788112283
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_01-42 : iter     340000 <=> epoch 0.3904335539645926 | train loss 0.5751276612 | val loss 0.5805730224
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_02-02 : iter     345000 <=> epoch 0.39617522387583665 | train loss 0.5743653178 | val loss 0.5788776875
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_02-22 : iter     350000 <=> epoch 0.4019168937870806 | train loss 0.5743783116 | val loss 0.5822277665
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_02-43 : iter     355000 <=> epoch 0.40765856369832465 | train loss 0.5757949352 | val loss 0.5804525018
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_03-03 : iter     360000 <=> epoch 0.4134002336095687 | train loss 0.5739153028 | val loss 0.5819293261
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_03-23 : iter     365000 <=> epoch 0.41914190352081265 | train loss 0.5746310949 | val loss 0.5813144445
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_03-43 : iter     370000 <=> epoch 0.4248835734320567 | train loss 0.5763123631 | val loss 0.5814793706
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_04-03 : iter     375000 <=> epoch 0.43062524334330066 | train loss 0.5751795769 | val loss 0.5821757913
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_04-23 : iter     380000 <=> epoch 0.4363669132545447 | train loss 0.5746890306 | val loss 0.5800284743
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_04-44 : iter     385000 <=> epoch 0.4421085831657887 | train loss 0.5733031631 | val loss 0.5790385604
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_05-04 : iter     390000 <=> epoch 0.4478502530770327 | train loss 0.5722804666 | val loss 0.5811252594
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_05-24 : iter     395000 <=> epoch 0.4535919229882767 | train loss 0.5739995241 | val loss 0.5814800262
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_05-44 : iter     400000 <=> epoch 0.45933359289952075 | train loss 0.5728378892 | val loss 0.5801498294
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_06-04 : iter     405000 <=> epoch 0.4650752628107647 | train loss 0.5743162632 | val loss 0.5806350708
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_06-25 : iter     410000 <=> epoch 0.47081693272200875 | train loss 0.5767641068 | val loss 0.5810557604
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_06-45 : iter     415000 <=> epoch 0.4765586026332528 | train loss 0.5727142692 | val loss 0.5786190033
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_07-05 : iter     420000 <=> epoch 0.48230027254449676 | train loss 0.5744912028 | val loss 0.5807627439
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_07-25 : iter     425000 <=> epoch 0.4880419424557408 | train loss 0.5720502734 | val loss 0.5792658925
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_07-45 : iter     430000 <=> epoch 0.49378361236698476 | train loss 0.5721077323 | val loss 0.5802299976
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_08-05 : iter     435000 <=> epoch 0.4995252822782288 | train loss 0.5731200576 | val loss 0.5785372853
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_08-26 : iter     440000 <=> epoch 0.5052669521894728 | train loss 0.5748348236 | val loss 0.5809326172
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_08-46 : iter     445000 <=> epoch 0.5110086221007168 | train loss 0.5714413524 | val loss 0.5791829824
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_09-06 : iter     450000 <=> epoch 0.5167502920119608 | train loss 0.5740569830 | val loss 0.5785166621
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_09-26 : iter     455000 <=> epoch 0.5224919619232048 | train loss 0.5729913712 | val loss 0.5766769648
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_09-46 : iter     460000 <=> epoch 0.5282336318344488 | train loss 0.5725979209 | val loss 0.5785634518
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_10-06 : iter     465000 <=> epoch 0.5339753017456929 | train loss 0.5704768896 | val loss 0.5789988041
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_10-27 : iter     470000 <=> epoch 0.5397169716569369 | train loss 0.5730445385 | val loss 0.5784529448
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_10-47 : iter     475000 <=> epoch 0.5454586415681809 | train loss 0.5718505383 | val loss 0.5776306391
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_11-07 : iter     480000 <=> epoch 0.5512003114794248 | train loss 0.5712350607 | val loss 0.5792412758
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_11-27 : iter     485000 <=> epoch 0.5569419813906689 | train loss 0.5707830787 | val loss 0.5774888396
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_11-47 : iter     490000 <=> epoch 0.5626836513019129 | train loss 0.5703818202 | val loss 0.5787205100
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_12-07 : iter     495000 <=> epoch 0.5684253212131569 | train loss 0.5706151128 | val loss 0.5788112879
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_12-28 : iter     500000 <=> epoch 0.574166991124401 | train loss 0.5715264678 | val loss 0.5774943829
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_12-48 : iter     505000 <=> epoch 0.5799086610356449 | train loss 0.5731354356 | val loss 0.5792058110
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_13-08 : iter     510000 <=> epoch 0.5856503309468889 | train loss 0.5715814233 | val loss 0.5785374045
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_13-28 : iter     515000 <=> epoch 0.5913920008581329 | train loss 0.5702663660 | val loss 0.5770829916
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_13-48 : iter     520000 <=> epoch 0.597133670769377 | train loss 0.5712066293 | val loss 0.5772879124
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_14-08 : iter     525000 <=> epoch 0.602875340680621 | train loss 0.5705114603 | val loss 0.5790178180
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_14-29 : iter     530000 <=> epoch 0.608617010591865 | train loss 0.5710590482 | val loss 0.5796224475
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_14-49 : iter     535000 <=> epoch 0.6143586805031089 | train loss 0.5695021749 | val loss 0.5778710246
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_15-09 : iter     540000 <=> epoch 0.620100350414353 | train loss 0.5716728568 | val loss 0.5786468387
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_15-29 : iter     545000 <=> epoch 0.625842020325597 | train loss 0.5703905225 | val loss 0.5769129395
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_15-49 : iter     550000 <=> epoch 0.631583690236841 | train loss 0.5686812997 | val loss 0.5779780746
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_16-09 : iter     555000 <=> epoch 0.637325360148085 | train loss 0.5687948465 | val loss 0.5772532225
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_16-30 : iter     560000 <=> epoch 0.643067030059329 | train loss 0.5701134205 | val loss 0.5780717134
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_16-50 : iter     565000 <=> epoch 0.648808699970573 | train loss 0.5696114898 | val loss 0.5800746083
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_17-10 : iter     570000 <=> epoch 0.654550369881817 | train loss 0.5718418956 | val loss 0.5761340261
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_17-30 : iter     575000 <=> epoch 0.6602920397930611 | train loss 0.5681455731 | val loss 0.5765599608
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_17-50 : iter     580000 <=> epoch 0.6660337097043051 | train loss 0.5671874285 | val loss 0.5771248341
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_18-11 : iter     585000 <=> epoch 0.6717753796155491 | train loss 0.5678768158 | val loss 0.5777518749
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_18-31 : iter     590000 <=> epoch 0.677517049526793 | train loss 0.5676624179 | val loss 0.5773482919
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_18-51 : iter     595000 <=> epoch 0.6832587194380371 | train loss 0.5676798820 | val loss 0.5782450438
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_19-11 : iter     600000 <=> epoch 0.6890003893492811 | train loss 0.5678569078 | val loss 0.5769150853
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_19-31 : iter     605000 <=> epoch 0.6947420592605251 | train loss 0.5685150623 | val loss 0.5779076815
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_19-51 : iter     610000 <=> epoch 0.7004837291717692 | train loss 0.5675693154 | val loss 0.5783478022
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_20-11 : iter     615000 <=> epoch 0.7062253990830131 | train loss 0.5699897408 | val loss 0.5768387914
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_20-32 : iter     620000 <=> epoch 0.7119670689942571 | train loss 0.5694100857 | val loss 0.5780940056
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_20-52 : iter     625000 <=> epoch 0.7177087389055011 | train loss 0.5671829581 | val loss 0.5789316893
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_21-12 : iter     630000 <=> epoch 0.7234504088167452 | train loss 0.5687373877 | val loss 0.5768164992
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_21-32 : iter     635000 <=> epoch 0.7291920787279892 | train loss 0.5687845945 | val loss 0.5778491497
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_21-52 : iter     640000 <=> epoch 0.7349337486392332 | train loss 0.5718152523 | val loss 0.5801021457
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_22-12 : iter     645000 <=> epoch 0.7406754185504771 | train loss 0.5708200932 | val loss 0.5800092220
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_22-32 : iter     650000 <=> epoch 0.7464170884617212 | train loss 0.5687089562 | val loss 0.5779444575
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_22-52 : iter     655000 <=> epoch 0.7521587583729652 | train loss 0.5681908131 | val loss 0.5768253207
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_23-13 : iter     660000 <=> epoch 0.7579004282842092 | train loss 0.5682071447 | val loss 0.5768144727
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_23-33 : iter     665000 <=> epoch 0.7636420981954533 | train loss 0.5666173697 | val loss 0.5760564208
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-26_23-53 : iter     670000 <=> epoch 0.7693837681066972 | train loss 0.5686386824 | val loss 0.5775213838
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-27_00-13 : iter     675000 <=> epoch 0.7751254380179412 | train loss 0.5656999350 | val loss 0.5788459182
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-27_00-33 : iter     680000 <=> epoch 0.7808671079291852 | train loss 0.5697833300 | val loss 0.5766262412
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-27_00-53 : iter     685000 <=> epoch 0.7866087778404293 | train loss 0.5663558841 | val loss 0.5757734179
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-27_01-14 : iter     690000 <=> epoch 0.7923504477516733 | train loss 0.5703765750 | val loss 0.5788264275
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-27_01-34 : iter     695000 <=> epoch 0.7980921176629173 | train loss 0.5684989095 | val loss 0.5763794184
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-27_01-54 : iter     700000 <=> epoch 0.8038337875741612 | train loss 0.5687645078 | val loss 0.5741225481
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-27_02-14 : iter     705000 <=> epoch 0.8095754574854053 | train loss 0.5703172088 | val loss 0.5756803751
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-27_02-34 : iter     710000 <=> epoch 0.8153171273966493 | train loss 0.5691697598 | val loss 0.5775123239
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-27_02-55 : iter     715000 <=> epoch 0.8210587973078933 | train loss 0.5669664741 | val loss 0.5775246620
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-27_03-15 : iter     720000 <=> epoch 0.8268004672191374 | train loss 0.5646281838 | val loss 0.5772088766
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-27_03-35 : iter     725000 <=> epoch 0.8325421371303813 | train loss 0.5674923658 | val loss 0.5768464208
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-27_03-55 : iter     730000 <=> epoch 0.8382838070416253 | train loss 0.5693888068 | val loss 0.5773367286
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-27_04-15 : iter     735000 <=> epoch 0.8440254769528693 | train loss 0.5668033361 | val loss 0.5784233809
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-27_04-35 : iter     740000 <=> epoch 0.8497671468641134 | train loss 0.5671363473 | val loss 0.5763754249
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-27_04-56 : iter     745000 <=> epoch 0.8555088167753574 | train loss 0.5656175613 | val loss 0.5776392817
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-27_05-16 : iter     750000 <=> epoch 0.8612504866866013 | train loss 0.5667538643 | val loss 0.5767894387
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-27_05-36 : iter     755000 <=> epoch 0.8669921565978453 | train loss 0.5667728186 | val loss 0.5747698545
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-27_05-56 : iter     760000 <=> epoch 0.8727338265090894 | train loss 0.5687843561 | val loss 0.5788151622
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-27_06-16 : iter     765000 <=> epoch 0.8784754964203334 | train loss 0.5670544505 | val loss 0.5746176243
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-27_06-36 : iter     770000 <=> epoch 0.8842171663315774 | train loss 0.5654031038 | val loss 0.5760265589
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-27_06-57 : iter     775000 <=> epoch 0.8899588362428215 | train loss 0.5666946769 | val loss 0.5772377849
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-27_07-17 : iter     780000 <=> epoch 0.8957005061540654 | train loss 0.5654865503 | val loss 0.5760514736
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-27_07-37 : iter     785000 <=> epoch 0.9014421760653094 | train loss 0.5656846166 | val loss 0.5763619542
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-27_07-57 : iter     790000 <=> epoch 0.9071838459765534 | train loss 0.5653811097 | val loss 0.5750436187
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-27_08-17 : iter     795000 <=> epoch 0.9129255158877975 | train loss 0.5656714439 | val loss 0.5770016909
	--> training ...
	--> checkpointing
